Item_Name_k,Preparation_Time_Taken_Mins_k
Reveilo Merlot,90.850000000000009
Coastal Squid (Sukha In Mangalorian Masala),90.87133333333334
BACARDI BREEZER,91.008283582089533
Martini (THE BOTANIST),91.05
TOMATO SOUP,91.054504657070254
Heaven Melon (REGULAR),91.096666666666664
Chicken Kebabs (Murg Dongri),91.111904761904754
Heineken Silver,91.2760856269113
Suimono Soup (VEG),91.359722222222231
Chicken Kebabs (Murg Shikara),91.429999999999964
Talumein Soup (VEG),91.484137931034454
Spicy Crab Soup,91.718023255813961
PANEER CHILLY DRY,91.792091836734613
Toddy (REGULAR),91.805357142857162
Martini (GREY GOOSE),91.863333333333344
Indian Malwani Bombil Fry,91.909339622641482
Hara Bhara Kabab,92.0041242937853
Khasta Chaat,92.0355454545454
Manchow Soup (VEG),92.146507343788883
Chicken Kebabs (Chicken Angare),92.14707659115416
Fratelli Sangiovese,92.193750000000009
Rawas (Tandoor),92.261785714285722
Chinese Prawns (REGULAR),92.289444444444442
Sula Chenin Blanc,92.402500000000018
Coastal Surmai (Tawa Fry),92.4782035928144
Whisky Sour (CHIVAS REGAL),92.730714285714285
TANDOORI BROCCOLI,92.779883720930229
Burnt Garlic Soup (VEG),92.80060747663552
Tom Kha (CHICKEN),92.87086956521739
Martini (ABSOLUT),92.876486486486471
Caprioska (ABSOLUT),92.97055350553515
Blue Lagoon (GREY GOOSE),93.025
Kingfisher Ultra Max,93.195833333333326
Mushroom Galauti,93.206483812949571
BACARDI WHITE,93.216959459459474
Dragon Roll (FISH),93.22
Chinese Rawas,93.326250000000016
Guava Delight (GREY GOOSE),93.412
BOMBAY SAPPHIRE,93.413737373737348
VEG CRISPY,93.440859728506823
Bull Frog,93.570952380952377
Tom Kha Soup (VEG),93.67591397849462
GLENFIDDICH -15 YEARS,93.6882692307692
Tandoori Prawns (100 Gms) (100 GMS),93.803333333333327
COLD COFFEE,93.84904761904761
Whisky Sour (REGULAR),94.093678160919552
GLENLIVET -15 YEARS,94.151250000000019
Gimlet (HENDRICKS),94.18
Screw Driver (GREY GOOSE),94.219999999999985
Burnt Garlic Soup (SEA FOOD),94.265
Sula Zinfandel Rose,94.283333333333317
Dragon Roll (VEG),94.3634090909091
